,Incident number,Date and time,Location,Duration,Attending Stations/Brigades,Result,Day
0,F3900946,24/01/2024 00:23:30,WOBURN LOWER HUTT CITY,00:16:46,"Seaview, Avalon",7100: FALSE ALARM (STRU),Wednesday
1,F3900949,24/01/2024 00:36:15,ONEKAWA NAPIER CITY,00:00:00,Napier,1200: MOBILE PROPERTY FIRE (STRU),Wednesday
2,F3900964,24/01/2024 01:37:01,THORNDON WELLINGTON CITY,00:22:43,"Thorndon, Wellington City, Karori, Johnsonville",7100: FALSE ALARM (SPRNKLR),Wednesday
3,F3900965,24/01/2024 01:44:24,TURITEA PALMERSTON NORTH CITY,00:16:35,Palmerston North,7100: FALSE ALARM (STRU),Wednesday
4,F3900968,24/01/2024 02:04:57,SOLWAY MASTERTON DISTRICT,00:00:00,Masterton,7100: FALSE ALARM (STRU),Wednesday
5,F3900970,24/01/2024 02:08:37,NAENAE LOWER HUTT CITY,00:18:14,Avalon,7100: FALSE ALARM (STRU),Wednesday
6,F3900975,24/01/2024 02:31:09,WHANGANUI EAST WHANGANUI DISTRICT,00:00:00,Whanganui,1500: MISCELLANEOUS FIRE (MIN),Wednesday
7,F3900978,24/01/2024 02:58:27,WELLINGTON CENTRAL WELLINGTON CITY,00:00:00,"Wellington City, Brooklyn","3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)",Wednesday
8,F3900999,24/01/2024 06:05:20,AUROA SOUTH TARANAKI DISTRICT,00:35:43,"Kaponga, Manaia",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Wednesday
9,F3901000,24/01/2024 06:07:12,TE HORO BEACH KAPITI COAST DISTRICT,00:00:00,"Te Horo, Otaki",1300: VEGETATION FIRE (MIN),Wednesday
10,F3901005,24/01/2024 06:32:52,TAITA LOWER HUTT CITY,00:00:00,Avalon,1500: MISCELLANEOUS FIRE (MIN),Wednesday
11,F3901014,24/01/2024 07:11:01,KELSON LOWER HUTT CITY,00:15:48,Avalon,"1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)",Wednesday
12,F3901017,24/01/2024 07:31:32,NEWTOWN WELLINGTON CITY,00:14:22,"Newtown, Wellington City, Kilbirnie",7100: FALSE ALARM (SPRNKLR),Wednesday
13,F3901023,24/01/2024 07:41:59,WELLINGTON CENTRAL WELLINGTON CITY,00:16:52,"Thorndon, Karori, Brooklyn",7100: FALSE ALARM (STRU),Wednesday
14,F3901024,24/01/2024 07:43:14,PIRINOA SOUTH WAIRARAPA DISTRICT,00:00:00,Martinborough,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
15,F3901028,24/01/2024 07:49:54,AOKAUTERE PALMERSTON NORTH CITY,00:00:00,Ashhurst,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Wednesday
16,F3901042,24/01/2024 08:14:10,THORNDON WELLINGTON CITY,00:17:04,"Thorndon, Wellington City, Karori",7100: FALSE ALARM (SPRNKLR),Wednesday
17,F3901046,24/01/2024 08:25:32,KARORI WELLINGTON CITY,00:11:51,"Karori, Johnsonville",7100: FALSE ALARM (STRU),Wednesday
18,F3901048,24/01/2024 08:27:32,HASTINGS HASTINGS DISTRICT,00:12:49,Hastings,7100: FALSE ALARM (STRU),Wednesday
19,F3901064,24/01/2024 08:51:29,NEWTOWN WELLINGTON CITY,00:13:13,"Newtown, Brooklyn",7100: FALSE ALARM (HAZGAS),Wednesday
20,F3901073,24/01/2024 09:05:36,PARAITE NEW PLYMOUTH DISTRICT,00:00:00,New Plymouth,1300: VEGETATION FIRE (MIN),Wednesday
21,F3901082,24/01/2024 09:11:08,JOHNSONVILLE WELLINGTON CITY,00:00:00,Johnsonville,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
22,F3901087,24/01/2024 09:18:04,STRANDON NEW PLYMOUTH DISTRICT,00:16:00,New Plymouth,7100: FALSE ALARM (STRU),Wednesday
23,F3901109,24/01/2024 09:37:56,TIROHANGA LOWER HUTT CITY,00:00:00,Avalon,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Wednesday
24,F3901117,24/01/2024 09:42:01,NEWTOWN WELLINGTON CITY,00:00:00,Newtown,1500: MISCELLANEOUS FIRE (MIN),Wednesday
25,F3901120,24/01/2024 09:45:38,TITAHI BAY PORIRUA CITY,00:00:00,"Titahi Bay, Porirua","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
26,F3901131,24/01/2024 09:52:04,CARTERTON CARTERTON DISTRICT,00:12:59,Carterton,1500: MISCELLANEOUS FIRE (MIN),Wednesday
27,F3901166,24/01/2024 10:24:53,MIRAMAR WELLINGTON CITY,00:00:00,Kilbirnie,1200: MOBILE PROPERTY FIRE (MIN),Wednesday
28,F3901182,24/01/2024 10:35:50,NEW PLYMOUTH NEW PLYMOUTH DISTRICT,00:04:43,New Plymouth,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Wednesday
29,F3901188,24/01/2024 10:31:40,WHANGANUI WHANGANUI DISTRICT,00:00:00,Whanganui,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
30,F3901192,24/01/2024 10:43:28,FAIRFIELD LOWER HUTT CITY,00:16:57,Avalon,7100: FALSE ALARM (SPRNKLR),Wednesday
31,F3901196,24/01/2024 10:47:57,NEWTOWN WELLINGTON CITY,00:21:42,"Newtown, Wellington City, Thorndon, Brooklyn",7100: FALSE ALARM (STRU),Wednesday
32,F3901225,24/01/2024 11:08:56,STRATFORD STRATFORD DISTRICT,00:00:00,Stratford,7100: FALSE ALARM (STRU),Wednesday
33,F3901276,24/01/2024 12:27:52,WAITAHORA TARARUA DISTRICT,00:00:00,Dannevirke,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Wednesday
34,F3901286,24/01/2024 12:49:29,WHANGANUI WHANGANUI DISTRICT,00:00:00,Whanganui,1500: MISCELLANEOUS FIRE (MIN),Wednesday
35,F3901352,24/01/2024 14:00:34,HALCOMBE MANAWATU DISTRICT,00:23:36,RNZAF Base Ohakea F6056,7100: FALSE ALARM (STRU),Wednesday
36,F3901373,24/01/2024 14:30:03,OKOIA WHANGANUI DISTRICT,00:00:00,"Whanganui, Koitiata, Rangitikei",,Wednesday
37,F3901422,24/01/2024 15:17:48,HURWORTH NEW PLYMOUTH DISTRICT,00:00:00,New Plymouth,7100: FALSE ALARM (STRU),Wednesday
38,F3901423,24/01/2024 15:20:18,OPAKI MASTERTON DISTRICT,00:00:00,"Masterton, Mauriceville",1300: VEGETATION FIRE (VEG),Wednesday
39,F3901442,24/01/2024 15:50:44,CAMBERLEY HASTINGS DISTRICT,04:06:43,"Hastings, Napier OSU",1100: STRUCTURE FIRE (STRU),Wednesday
40,F3901458,24/01/2024 15:59:30,TE ARO WELLINGTON CITY,00:00:00,"Thorndon, Wellington City, Brooklyn","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)",Wednesday
41,F3901465,24/01/2024 16:06:18,HURWORTH NEW PLYMOUTH DISTRICT,00:08:14,New Plymouth,7100: FALSE ALARM (SPRNKLR),Wednesday
42,F3901470,24/01/2024 16:12:46,PETONE LOWER HUTT CITY,00:00:00,Seaview,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
43,F3901476,24/01/2024 16:19:29,AOKAUTERE PALMERSTON NORTH CITY,00:32:17,"Palmerston North, Pahiatua",1200: MOBILE PROPERTY FIRE (MIN),Wednesday
44,F3901481,24/01/2024 16:26:14,WELLINGTON CENTRAL WELLINGTON CITY,00:10:07,"Thorndon, Wellington City",7100: FALSE ALARM (SPRNKLR),Wednesday
