,Incident number,Date and time,Location,Duration,Attending Stations/Brigades,Result,Day
0,F3900943,24/01/2024 00:00:27,TITIRANGI AUCKLAND,00:20:43,"Glen Eden, Titirangi",7100: FALSE ALARM (STRU),Wednesday
1,F3900944,24/01/2024 00:19:03,MASSEY AUCKLAND,00:32:49,West Harbour,7100: FALSE ALARM (STRU),Wednesday
2,F3900945,24/01/2024 00:19:22,OTAIKA WHANGAREI DISTRICT,00:00:00,"Whangarei, Portland","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Wednesday
3,F3900950,24/01/2024 00:37:44,MOUNT WELLINGTON AUCKLAND,00:00:00,Mount Wellington,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Wednesday
4,F3900952,24/01/2024 00:44:18,MELVILLE HAMILTON CITY,00:00:00,"Hamilton, Te Rapa",7100: FALSE ALARM (SPRNKLR),Wednesday
5,F3900953,24/01/2024 00:50:53,TAURANGA TAURANGA CITY,00:12:47,"Tauranga, Mount Maunganui",7100: FALSE ALARM (STRU),Wednesday
6,F3900957,24/01/2024 01:03:14,LEIGH AUCKLAND,00:28:10,Leigh,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
7,F3900960,24/01/2024 01:17:46,MOUNT EDEN AUCKLAND,00:17:02,"Balmoral, Grey Lynn, Auckland City",7100: FALSE ALARM (STRU),Wednesday
8,F3900961,24/01/2024 01:25:22,OTARA AUCKLAND,00:00:00,Otara,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
9,F3900962,24/01/2024 01:28:51,PAPAMOA BEACH TAURANGA CITY,00:25:38,Mount Maunganui,7100: FALSE ALARM (MIN),Wednesday
10,F3900967,24/01/2024 01:48:38,MOUNT ALBERT AUCKLAND,00:00:00,"Avondale, Mount Roskill","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Wednesday
11,F3900973,24/01/2024 02:27:02,HILLSBOROUGH AUCKLAND,00:16:17,"Mount Roskill, Onehunga",7100: FALSE ALARM (STRU),Wednesday
12,F3900974,24/01/2024 02:29:39,KAIKOHE FAR NORTH DISTRICT,00:20:43,Kaikohe,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Wednesday
13,F3900976,24/01/2024 02:33:59,SILVERDALE HAMILTON CITY,00:44:42,"Hamilton, Chartwell",7100: FALSE ALARM (STRU),Wednesday
14,F3900977,24/01/2024 02:37:30,HAMILTON CENTRAL HAMILTON CITY,01:04:48,Hamilton,1200: MOBILE PROPERTY FIRE (MIN),Wednesday
15,F3900979,24/01/2024 03:09:07,PARNELL AUCKLAND,00:19:37,"Auckland City, Parnell",7100: FALSE ALARM (STRU),Wednesday
16,F3900984,24/01/2024 03:40:56,TUAKAU WAIKATO DISTRICT,00:00:00,Tuakau,1500: MISCELLANEOUS FIRE (MIN),Wednesday
17,F3900987,24/01/2024 04:37:54,MANUREWA AUCKLAND,00:13:59,Manurewa,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
18,F3900988,24/01/2024 04:39:00,REGENT WHANGAREI DISTRICT,00:17:26,Whangarei,7100: FALSE ALARM (SPRNKLR),Wednesday
19,F3900990,24/01/2024 04:52:08,RAUMANGA WHANGAREI DISTRICT,00:23:31,Whangarei,7100: FALSE ALARM (STRU),Wednesday
20,F3900991,24/01/2024 04:59:11,SILVERDALE AUCKLAND,00:00:00,Silverdale,1200: MOBILE PROPERTY FIRE (MVCRESC),Wednesday
21,F3900993,24/01/2024 05:32:04,HILLCREST HAMILTON CITY,00:19:57,"Hamilton, Chartwell",7100: FALSE ALARM (STRU),Wednesday
22,F3900994,24/01/2024 05:31:31,HAURAKI AUCKLAND,00:00:00,"Devonport, Takapuna",1100: STRUCTURE FIRE (STRU),Wednesday
