,Incident number,Date and time,Location,Duration,Attending Stations/Brigades,Result,Day
0,F3900947,24/01/2024 00:26:05,PARKSIDE TIMARU DISTRICT,00:13:35,Timaru,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
1,F3900959,24/01/2024 01:14:52,TUAPEKA MOUTH CLUTHA DISTRICT,00:52:27,Clutha Valley,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Wednesday
2,F3900963,24/01/2024 01:30:37,KAITANGATA CLUTHA DISTRICT,00:00:00,Kaitangata,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
3,F3900982,24/01/2024 03:29:47,ARROWTOWN QUEENSTOWN-LAKES DISTRICT,00:00:00,Arrowtown,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
4,F3900983,24/01/2024 03:37:59,DUNEDIN CENTRAL DUNEDIN CITY,00:16:58,"Dunedin, St Kilda",7100: FALSE ALARM (STRU),Wednesday
5,F3900997,24/01/2024 05:51:42,WYNDHAM SOUTHLAND DISTRICT,00:00:00,"Wyndham, Edendale",7100: FALSE ALARM (STRU),Wednesday
6,F3901013,24/01/2024 07:10:30,BALMORAL HURUNUI DISTRICT,00:00:00,Culverden,1300: VEGETATION FIRE (STRU),Wednesday
7,F3901019,24/01/2024 07:33:26,OAMARU NORTH WAITAKI DISTRICT,00:19:47,Oamaru,7100: FALSE ALARM (SPRNKLR),Wednesday
8,F3901020,24/01/2024 07:33:56,OAMARU WAITAKI DISTRICT,00:21:35,Oamaru,7100: FALSE ALARM (STRU),Wednesday
9,F3901040,24/01/2024 08:12:37,BURWOOD CHRISTCHURCH CITY,00:14:02,Anzac,7100: FALSE ALARM (SPRNKLR),Wednesday
10,F3901061,24/01/2024 08:49:18,WAIRAU VALLEY MARLBOROUGH DISTRICT,00:26:55,"RNZAF Base Woodbourne, Blenheim, Waihopai",7100: FALSE ALARM (STRU),Wednesday
11,F3901077,24/01/2024 09:09:23,CHRISTCHURCH CENTRAL CHRISTCHURCH CITY,00:15:16,Christchurch City,7100: FALSE ALARM (SPRNKLR),Wednesday
12,F3901091,24/01/2024 09:21:29,TAKAKA TASMAN DISTRICT,00:29:13,Takaka,1300: VEGETATION FIRE (MIN),Wednesday
13,F3901092,24/01/2024 09:22:16,BRADFORD DUNEDIN CITY,00:23:06,"Dunedin, Roslyn",7100: FALSE ALARM (SPRNKLR),Wednesday
